Filename,Sentence,manual_emotion,manual_sentiment
HADOOP-5539,Just before the creation of the writer o.a.h.mapred.Merger.class line 432. and it outputs the second line above..,/,
HADOOP-5539,I have confirmed this with the logging and I have looked at the files on the disk of the tasktracker.,/,
HADOOP-5539,I can read the data in .,/,
HADOOP-5539,the intermediate files clearly telling me that there not compressed but I can not read the map.out files direct from the map output.,surprise,-1
HADOOP-5539,telling me the compression is working on the map end but not on the on disk merge that produces the intermediate..,surprise,-1
HADOOP-5539,I can see no benefit for these not maintaining the compression setting and as it looks they where intended to maintain it.,fear,-1
STORM-1114,"In production for some trident topology, we met the bug that some workers are trying to create a zk-node that is already existent or delete a zk node that has already been deleted.",surprise,-1
STORM-1114,This causes the worker process to die..  .,/,
STORM-1114,We dissect the problem and figure out that there exists racing condition in trident TransactionalState's zk-node create and delete codes.. failure stack trace in worker.log:,/,
HIVE-13872,TPC-DS Q13 produces a cross-product without CBO simplifying the query.,surprise,-1
HIVE-13872,Simplified query,/,
HDFS-6178,Currently decommissioning machines in HA-enabled cluster requires running refreshNodes in both active and standby nodes.,/,
HDFS-6178,Sometimes decommissioning won't finish from standby NN's point of view.,surprise,-1
HDFS-6178,Here is the diagnosis of why it could happen..,/,
HDFS-6178,Standby NN's blockManager manages blocks replication and block invalidation as if it is the active NN; even though DNs will ignore block commands coming from standby NN.,/,
HDFS-6178,"When standby NN makes block operation decisions such as the target of block replication and the node to remove excess blocks from, the decision is independent of active NN.",/,
HDFS-6178,So active NN and standby NN could have different states.,/,
HDFS-6178,When we try to decommission nodes on standby nodes; such state inconsistency might prevent standby NN from making progress.,/,
HDFS-6178,Here is an example.. Machine A.,/,
HDFS-6178,Machine B.,/,
HDFS-6178,Machine C. Machine D. Machine E. Machine F. Machine G. Machine H. 1.,/,
HDFS-6178,"For a given block, both active and standby have 5 replicas on machine A, B, C, D, E. So both active and standby decide to pick excess nodes to invalidate..",/,
HDFS-6178,Active picked D and E as excess DNs.,/,
HDFS-6178,"After the next block reports from D and E, active NN has 3 active replicas (A, B, C), 0 excess replica..",/,
HDFS-6178,"Standby pick C, E as excess DNs.",/,
HDFS-6178,"Given DNs ignore commands from standby, After the next block reports from C, D, E,  standby has 2 active replicas (A, B), 1 excess replica (C).. 2.",/,
HDFS-6178,Machine A decomm request was sent to standby.,/,
HDFS-6178,"Standby only had one live replica and picked machine G, H as targets, but given standby commands was ignored by DNs, G, H remained in pending replication queue until they are timed out.",surprise,-1
HDFS-6178,"At this point, you have one decommissioning replica (A), 1 active replica (B), one excess replica (C).. 3.",/,
HDFS-6178,Machine A decomm request was sent to active NN.,/,
HDFS-6178,Active NN picked machine F as the target.,/,
HDFS-6178,It finished properly.,/,
HDFS-6178,"So active NN had 3 active replicas (B, C, F), one decommissioned replica (A).. 4.",/,
HDFS-6178,Standby NN picked up F as a new replica.,/,
HDFS-6178,"Thus standby had one decommissioning replica (A), 2 active replicas (B, F), one excess replica (C).",/,
HDFS-6178,"Standby NN kept trying to schedule replication work, but DNs ignored the commands.",surprise,-1
MAPREDUCE-5931,This is a minor issue per se.,/,
MAPREDUCE-5931,I had a typo in my script specifying a negative number of reducers for the SleepJob.,/,
MAPREDUCE-5931,"It results in the exception that is far from the root cause, and appeared as a serious issue with the map-side sort.",surprise,-1
HDFS-1158,"Whenever we restart a cluster, there's a chance of losing some blocks if more than three datanodes don't come up.. HDFS-457 increases this chance by keeping the datanodes up even when .",sadness,-1
HDFS-1158,# /tmp disk goes read-only.,/,
HDFS-1158,# /disk0 that is used for storing PID goes read-only .,/,
HDFS-1158,and probably more..,/,
HDFS-1158,"In our environment, /tmp and /disk0 are from the same device..",/,
HDFS-1158,"When trying to restart a datanode, it would fail with.",/,
HDFS-1158,1) .,/,
HDFS-1158,or .,/,
HDFS-1158,2) .,/,
HDFS-1158,"I can recover the missing blocks but it takes some time.. Also, we are losing track of block movements since log directory can also go to read-only but datanode would continue running.. For 0.21 release, can we revert HDFS-457 or make it configurable?",surprise,-1
AMQ-4576,When more than one topic is supplied to BlockingConnection.subscribe the BlockingConnection.receive fails and the following exception is thrown:.,/,
AMQ-4576,On the server shows the following messages:.,/,
AMQ-4576,Code example:.,/,
AMQ-4576,"The test failed when using the current fusesource client (1.5) on ActiveMQ 5.9, on Mosquitto mqtt the code works correctly.",surprise,-1
MAPREDUCE-6357,"After spending the afternoon debugging a user job where reduce tasks were failing on retry with the below exception, I think it would be worthwhile to add a note in the MultipleOutputs.write() documentation, saying that absolute paths may cause improper execution of tasks on retry or when MR speculative execution is enabled.",fear,-1
MAPREDUCE-6357,"As discussed in MAPREDUCE-3772, when the baseOutputPath passed to MultipleOutputs.write() is an absolute path (or more precisely a path that resolves outside of the job output-dir), the concept of output committing is not utilized.",/,
MAPREDUCE-6357,"In this case, the user read thru the MultipleOutputs docs and was assuming that everything will be working fine, as there are blog posts saying that MultipleOutputs does handle output commit.",/,
STORM-2988,"As per documentation, I configured metrics v2 in my storm.yaml using the following configuration:.",/,
STORM-2988,"When I start nimbus and supervisors everything works properly, I can see metrics reported to JMX, and logs (for nimbus in this example) report:.",/,
STORM-2988,"When I submit a topology, workers cannot initialize and report this error.",/,
STORM-2988,Looking at org.apache.storm.metrics2.reporters.JmxStormReporter.getMetricsJMXDomain() I found that it passes "reporterConf" map to Utils.getString() instead of a string:.,surprise,-1
STORM-2988,The "prepare" method in org.apache.storm.daemon.metrics.reporters.JmxPreparableReporter used by nimbus and supervisor correctly passes a string to Utils.getString():.,/,
STORM-2988,Is this a bug or am I missing something in configuration?.,surprise,-1
STORM-2988,"Regards,.",/,
STORM-2988,Federico Chiacchiaretta,/,
HDFS-5710,From https://builds.apache.org/job/hbase-0.96-hadoop2/166/testReport/junit/org.apache.hadoop.hbase.mapreduce/TestTableInputFormatScan1/org_apache_hadoop_hbase_mapreduce_TestTableInputFormatScan1/ :.,/,
HDFS-5710,"Looks like getRelativePathINodes() returned null but getFullPathName() didn't check inodes against null, leading to NPE.",surprise,-1
MAPREDUCE-5884,"When the owner of a token tries to explicitly cancel the token, it gets the following error/exception.",/,
MAPREDUCE-5884,Details:.,/,
MAPREDUCE-5884,AbstractDelegationTokenSecretManager.cacelToken() gets the owner as full principal name where as the canceller is the short name..,/,
MAPREDUCE-5884,The potential code snippets:.,/,
MAPREDUCE-5884,The code shows 'owner' gets the full principal name.,/,
MAPREDUCE-5884,Where as the value of 'canceller' depends on who is calling it.,/,
MAPREDUCE-5884,"In some cases, it is the short name.",/,
MAPREDUCE-5884,REF: HistoryClientService.java.,/,
MAPREDUCE-5884,"In other cases, the value could be full principal name.",/,
MAPREDUCE-5884,REF: FSNamesystem.java.. Possible resolution:.,/,
MAPREDUCE-5884,"Option 1: in cancelToken() method, compare with both : short name and full principal name.. Pros: Easy.",/,
MAPREDUCE-5884,Have to change in one place.. Cons: Someone can argue that it is hacky!.,fear,-1
MAPREDUCE-5884,Option 2:.,/,
MAPREDUCE-5884,All the caller sends the consistent value as 'canceller' : either short name or full principal name.. Pros: Cleaner.. Cons: A lot of code changes and potential bug injections..,/,
MAPREDUCE-5884,I'm open for both options..,/,
MAPREDUCE-5884,"Please give your opinion.. Btw, how it is working now in most cases?",surprise,-1
MAPREDUCE-5884,The short name and the full principal name are usually the same for end-users.,/,
STORM-2142,"When EvaluationFilter / EvaluationFunction throws Exception, async loop for the executor is died but others will continue to work..",surprise,-1
STORM-2142,"While looking into detail, I found that ReportErrorAndDie implementation seems odd - completely opposite behavior compared to 1.x :report-error-and-die..",surprise,-1
STORM-2142,"When InterruptedException or InterruptedIOException is thrown, it should just leave a log and shouldn't run suicide function.",surprise,-1
STORM-2142,For others it should run suicide function.,/,
YARN-8223,"Loading an auxiliary jar from a local location on a node manager works as expected,.",/,
YARN-8223,But loading the same jar from a location on HDFS fails with a ClassNotFoundException..,surprise,-1
YARN-8223,The difference between the 2 logs is the classpath variable in the 1st line of the log is empty in the HDFS case.,/,
YARN-8223,It doesn't have the URL/filename of the jar file specified in the config.,/,
YARN-4431,"If RM down for some reason, NM's NodeStatusUpdaterImpl will retry the connection with proper retry policy.",/,
YARN-4431,"After retry the maximum times (15 minutes by default), it will send NodeManagerEventType.SHUTDOWN to shutdown NM.",/,
YARN-4431,But NM shutdown will call NodeStatusUpdaterImpl.serviceStop() which will call unRegisterNM() to unregister NM from RM and get retry again (another 15 minutes).,/,
YARN-4431,This is completely unnecessary and we should skip unRegisterNM when NM get shutdown because of connection issues.,Sadness,-1
YARN-8035,"In the case of a container relaunch event, the container ID is reused but a new process is spawned.",surprise,-1
YARN-8035,"For resource monitoring, {{ContainersMonitorImpl}} will obtain the new PID post relaunch and initialize the process tree monitoring.",/,
YARN-8035,"As part of this initialization, a tag called {{ContainerPid}}, whose value is the鑱絇ID for the container, is鑱絧opulated for鑱絫he metrics associated with the container.",/,
YARN-8035,"If the prior container failed after its process started, the original PID will already be populated for the container, resulting in the {{MetricsException}} below.. {{MetricsRegistry}} provides a {{tag}} method that allows for updating the value of an existing tag.",/,
YARN-8035,"Updating the value ensures that the PID associated with container is the currently running process, which appears to be an appropriate fix.",/,
YARN-8035,"However, it's unclear how this tag might be being used by other systems.",/,
YARN-8035,I'm not finding any usage in Hadoop itself.,Sadness,-1
HDFS-6797,"Before upgrade, data node version was -55.",/,
HDFS-6797,The new data node version remained at -55.,surprise,-1
HDFS-6797,During upgrade we got he following messages:.,/,
HDFS-6797,"after upgrade completing, restart of DN still shows message regarding version difference:.",/,
HDFS-6797,This causes confusion to the operators as if upgrade did not succeed since data node's layout version is not updated to the "new LV" value.,Sadness,-1
HDFS-6797,Actually name node's layout version is displayed as the "new LV" value..,/,
HDFS-6797,"Since the data node and name node layout versions are separate now, the new data node layout version should be shown as the 閳ユ笜ew LV閳.",/,
HDFS-6797,Thanks to [~ehf] who found and reported this issue.,love,1
MAPREDUCE-4741,"The ApplicationMaster is logging WARN and ERROR messages during normal shutdown, and some users are misinterpreting these as serious problems.",/,
MAPREDUCE-4741,For example:.,/,
MAPREDUCE-4741,Warnings or errors should not be logged if everything is working as intended.,surprise,-1
STORM-3103,"When debugging an Nimbus NPE that caused restarts, I noticed that a forced halt occurred:.",surprise,-1
STORM-3103,At times this would cause leadership confusion:.,Sadness,-1
STORM-3103,We should endeavor to shutdown cleanly.,/,
HADOOP-3576,hadoop dfs -mv command throws NullPointerException while moving a directory to its subdirecotry.,/,
HADOOP-3576,"In 0.17 version, such a move was not allowed.",/,
HADOOP-3576,Consider the example.,/,
HADOOP-3576,"After this, the namespace of /a/b is gone.",/,
HADOOP-3576,"Restarting the namenode recovers this namespace and everything seems to be normal.. On the other hand, before restarting the namenode, if we delete the directory /a, it succeeds.",/,
HADOOP-3576,"But, restarting now, throws an exception on NameNode and NameNode wouldn't start..",surprise,-1
HADOOP-3576,"In hadoop 0.17, we never allowed such a move..",/,
HADOOP-3576,This is the issue seen with HADOOP-3561.,/,
HADOOP-3576,Opening this JIRA to fix the underlying problem while HADOOP-3561 could be committed.,/,
HDFS-13164,This is found during yarn log aggregation but theoretically could happen to any client..,/,
HDFS-13164,"If the dir's space quota is exceeded, the following would happen when a file is created:.",/,
HDFS-13164,"- client {{startFile}} rpc to NN, gets a {{DFSOutputStream}}..  - writing to the stream would trigger the streamer to {{getAdditionalBlock}} rpc to NN, which would get the DSQuotaExceededException.",/,
HDFS-13164,- client closes the stream.,/,
HDFS-13164,The fact that this would leave a 0-sized (or whatever size left in the quota) file in HDFS is beyond the scope of this jira.,/,
HDFS-13164,"However, the file would be left in openforwrite status (shown in鑱絳{fsck -openforwrite)}} at least, and could potentially leak leaseRenewer too..",fear,-1
HDFS-13164,"This is because in the close implementation,.",/,
HDFS-13164,"# {{isClosed}} is first checked, and the close call will be a no-op if {{isClosed == true}}..  # {{flushInternal}} checks {{isClosed}}, and throws the exception right away if鑱絫rue.",/,
HDFS-13164,{{isClosed}} does this: {{return closed || getStreamer().streamerClosed;}}.,/,
HDFS-13164,"When the disk quota is reached, {{getAdditionalBlock}} will throw when the streamer calls.",/,
HDFS-13164,"Because the streamer runs in a separate thread, at the time the client calls close on the stream, the streamer may or may not have reached the Quota exception.",/,
HDFS-13164,"If it has, then due to #1, the close call on the stream will be no-op.",/,
HDFS-13164,"If it hasn't, then due to #2 the {{completeFile}} logic will be skipped.. Log snippets:",/,
YARN-7942,"Even with sasl:rm:cdrwa set on the ZK node (from the registry system accounts property), the RM fails to remove the node with the below error.",surprise,-1
YARN-7942,"Also, the destroy call succeeds.",/,
STORM-2736,"Sometimes, after our topologies have been running for a while, Zookeeper does not respond within an appropriate time and we see.",Sadness,-1
STORM-2736,"That's fine, and we probably need to allocate more resources.",/,
STORM-2736,"But after a new leader is chosen, we then see:.",surprise,-1
STORM-2736,over and over..,Sadness,-1
STORM-2736,"I can't figure out yet how to cause the conditions that lead to Zookeeper becoming unresponsive, but it is possible to reproduce the {{BlobStoreUtils}} error by restarting Zookeeper..",Sadness,-1
STORM-2736,"The problem, I think, is that the loop [here|https://github.com/apache/storm/blob/v1.1.1/storm-core/src/jvm/org/apache/storm/blobstore/BlobStoreUtils.java#L175] never executes because the {{nimbusInfos}} list is empty.",/,
STORM-2736,"If I add a check similar to [this|https://github.com/apache/storm/blob/v1.1.1/storm-core/src/jvm/org/apache/storm/blobstore/BlobStoreUtils.java#L244] for a node which exists but has no children, the error goes away.",/,
HADOOP-2814,The test passes.,/,
HADOOP-2814,But there is an NPE in datanode (using branch-0.16) :,surprise,-1
STORM-2440,"During two somewhat extended outages of our Kafka cluster, we experienced a problem with our Storm topologies consuming data from that Kafka cluster..",/,
STORM-2440,"Almost all our topologies just silently stopped processing data from some of the topics/partitions, an the only way to fix this situation was to restart those topologies..",/,
STORM-2440,"I tracked down one occurrence of the failure to this worker, which was running one the KafkaSpouts:.",/,
STORM-2440,"There were no more outputs in the log after that until the toplogy was manually killed.. As you can see the {{java.net.SocketTimeoutException}} escapes the storm-kafka code (probably a problem in and of itself), but the worker is not killed.",surprise,-1
STORM-2440,The thread that calls the {{.nextTuple}} method of the spout is exited on the other hand..,/,
STORM-2440,This is the culprit line: https://github.com/apache/storm/blob/v1.1.0/storm-core/src/clj/org/apache/storm/daemon/executor.clj#L270.,/,
STORM-2440,I see that this has been fixed in the Java port of the executor code by explicitly excluding {{java.net.SocketTimeoutException}} from the condition..,/,
STORM-2440,I will open a pull request with a backport tomorrow.,/,
YARN-1274,LCE container launch assumes the usercache/USER directory exists and it is owned by the user running the container process..,/,
YARN-1274,"But the directory is created only if there are resources to localize by the LCE localization command, if there are not resourcdes to localize, LCE localization never executes and launching fails reporting 255 exit code and the NM logs have something like:",/,
HADOOP-11693,"One of our customers' production HBase clusters was periodically throttled by Azure storage, when HBase was archiving old WALs.",/,
HADOOP-11693,HMaster aborted the region server and tried to restart it..,/,
HADOOP-11693,"However, since the cluster was still being throttled by Azure storage, the upcoming distributed log splitting also failed.",surprise,-1
HADOOP-11693,"Sometimes hbase:meta table was on this region server and finally showed offline, which cause the whole cluster in bad state..",Sadness,-1
HADOOP-11693,"When archiving old WALs, WASB will do rename operation by copying src blob to destination blob and deleting the src blob.",/,
HADOOP-11693,"Copy blob is very costly in Azure storage and during Azure storage gc, it will be highly likely throttled.",/,
HADOOP-11693,The throttling by Azure storage usually ends within 15mins.,/,
HADOOP-11693,"Current WASB retry policy is exponential retry, but only last at most for 2min.",surprise,-1
HADOOP-11693,Short term fix will be adding a more intensive exponential retry when copy blob is throttled.,/,
HDFS-12383,"Seen an instance where the re-encryption updater exited due to an exception, and later tasks no longer executes.",/,
HDFS-12383,Logs below:.,/,
HDFS-12383,Updater should be fixed to handle canceled tasks better.,Sadness,-1
HDFS-7996,"When removing a disk from an actively writing DataNode, the BlockReceiver working on the disk throws {{ReplicaNotFoundException}} because the replicas are removed from the memory:.",/,
HDFS-7996,"{{FsVolumeList#removeVolume}} waits all threads release {{FsVolumeReference}} on the volume to be removed, however, in {{PacketResponder#finalizeBlock()}}, it calls.",surprise,-1
HDFS-7996,The {{FsVolumeReference}} was released in {{BlockReceiver.this.close()}} before calling {{datanode.data.finalizeBlock(block)}}.,/,
HDFS-3919,"A test run hung due to a known system config issue, but the hang was interesting:.",joy,1
HDFS-3919,The MiniDFSCluster should give up after a few seconds.,/,
YARN-2230,When a user requests more vcores than the allocation limit (e.g.,/,
YARN-2230,"mapreduce.map.cpu.vcores  is larger than yarn.scheduler.maximum-allocation-vcores), then InvalidResourceRequestException is thrown - https://svn.apache.org/repos/asf/hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/SchedulerUtils.java.",/,
YARN-2230,"According to documentation - yarn-default.xml http://hadoop.apache.org/docs/current/hadoop-yarn/hadoop-yarn-common/yarn-default.xml, the request should be capped to the allocation limit..",surprise,-1
YARN-2230,This means that:.,/,
YARN-2230,"* Either documentation or code should be corrected (unless this exception is handled elsewhere accordingly, but it looks that it is not)..",Sadness,-1
YARN-2230,"This behavior is confusing, because when such a job (with mapreduce.map.cpu.vcores is larger than yarn.scheduler.maximum-allocation-vcores) is submitted, it does not make any progress.",Sadness,-1
YARN-2230,"The warnings/exceptions are thrown at the scheduler (RM) side e.g.. * IMHO, such an exception should be forwarded to client.",Sadness,-1
YARN-2230,"Otherwise, it is non obvious to discover why a job does not make any progress..",/,
YARN-2230,The same looks to be related to memory.,/,
MAPREDUCE-4848,"Recently saw an AM that failed and tried to recover, but the subsequent attempt quickly exited with its own failure during recovery:.","surprise, sadness",-1
MAPREDUCE-4848,The RM then launched a third AM attempt which succeeded.,/,
MAPREDUCE-4848,The third attempt saw basically no progress after parsing the history file from the second attempt and ran the job again from scratch.,/,
STORM-1941,"When zookeeper reconnect happens, nimbus registry can be deleted though nimbus is alive.. Below is zookeeper node for nimbus registry.. Below is transaction log for that node..",surprise,-1
STORM-1941,"Please take a look at ctime, mtime, and ephemeralOwner.. Ephemeral owner session was already closed from nimbus side but there's possible for node to be not deleted immediately, so new session doesn't create new node but set the value to ephemeral node for other session which is already closed.. *And eventually that node is deleted although session 0x355a647bd8c0000 is alive.*.",/,
STORM-1941,We can delete the node first and set ephemeral node when reconnect event handler is called.,/,
HDFS-10609,"In normal operations, if SASL negotiation fails due to {{InvalidEncryptionKeyException}}, it is typically a benign exception, which is caught and retried :.",/,
HDFS-10609,"However, if the exception is thrown during pipeline recovery, the corresponding code does not handle it properly, and the exception is spilled out to downstream applications, such as SOLR, aborting its operation:.",Sadness,-1
HDFS-10609,"This exception should be contained within HDFS, caught and retried just like in {{createBlockOutputStream()}}",/,
YARN-4709,Following exception is thrown when we run below command.. {panel}.,/,
YARN-4709,root@varun-Inspiron-5558:/opt1/hadoop3/bin# ./yarn logs -applicationId application_1455999168135_0002 -am ALL -logFiles ALL.,/,
YARN-4709,Container: container_e31_1455999168135_0002_01_000001.,/,
YARN-4709,{color:red}LogType:syslogstderrstdout.,/,
YARN-4709,Log Upload Time:Sun Feb 21 01:44:55 +0530 2016.,/,
YARN-4709,Log Contents:.,/,
YARN-4709,java.lang.Exception: Cannot find this log on the local disk.. End of LogType:syslogstderrstdout{color}.,/,
YARN-4709,LogType:syslog.,/,
YARN-4709,Log Upload Time:Sun Feb 21 01:44:55 +0530 2016.,/,
YARN-4709,Log Contents:.,/,
YARN-4709,{panel}.,/,
YARN-4709,This is because we annotate containerLogFiles list with XmlElementWrapper which generates XML output as under.,/,
YARN-4709,"And when we read this XML at client side, reading the value associated with containerLogFiles also leads to one value being syslogstderrstdout because both parent and child tags are same.",/,
YARN-4709,This leads to the exception.,/,
YARN-4709,"Moreover, as we use XMLElementWrapper, the JSON generated is as under.",/,
YARN-4709,This JSON cannot be properly parsed by JSON parser(as a list).,Sadness,-1
YARN-4709,This is because child containerLogsFiles entries are treated as a key-value pair(map) and hence only last entry i.e.,/,
YARN-4709,stdout is picked up.,/,
YARN-4709,This was found while working on YARN-4517.,/,
YARN-4709,This makes output unusable.,/,
YARN-4709,This will be an issue for 2 REST endpoints i.e.,/,
YARN-4709,{{/ws/v1/node/containers}} and {{/ws/v1/node/containers/\{\{containerId\}\}}}.,/,
YARN-4709,Ideally the JSON output should be as under.. We can indicate in the JAXB context to ignore the outer wrapper while marshalling to JSON.,/,
YARN-4709,But this can only be done at class level.,/,
YARN-4709,"If we do so for ContainerInfo, it would break backward compatibility..",/,
YARN-4709,"Hence, to fix it we can remove XmlElementWrapper annotation for containerLogFiles list.. Another solution would be to wrap the list inside another class..",/,
YARN-4709,But going with former as of now as we do not specify XmlElementWrapper for lists at most of the places in our code.,/,
YARN-8331,"When a container is launching, in ContainerLaunch#launchContainer, state is SCHEDULED,.",/,
YARN-8331,"kill event was sent to this container, state : SCHEDULED->KILLING->DONE.",/,
YARN-8331,Then ContainerLaunch send CONTAINER_LAUNCHED event and start the container processes.,/,
YARN-8331,These absent container processes will not be cleaned up anymore.,surprise,-1
HIVE-17309,"When executor alter partition onto a table which existed not in current database, InvalidOperationException thrown.. SQL example:.",/,
HIVE-17309,We see this code in {{DDLTask.java}} potential problem that not transfer the qualified table name with database name when {{db.alterPartitions}} called.. stacktrace:.,fear,-1
HIVE-17309,Fix proposal is transfer the qualified table name when {{db.alterPartitions}} called.,/,
ZOOKEEPER-1781,"If snapCount is set to 1, ZooKeeper Server can start but it fails with the below error:.","surprise, sadness",-1
ZOOKEEPER-1781,"In source code,  it maybe be supposed that snapCount must be 2 or more:.",/,
ZOOKEEPER-1781,I think this supposition is not bad because snapCount = 1 is not realistic setting....,/,
ZOOKEEPER-1781,"But, it may be better to mention this restriction in documentation or add a validation in the source code.",Sadness,-1
STORM-2279,"With latest storm code, I am unable to open ui and see bolt information.",/,
STORM-2279,I am using the vagrant setup.,/,
STORM-2279,"On the ui page that open, I see the following error.. Url: http://node1:8080/component.html?id=SlidingTimeCorrectness-winSec1slideSec1VerificationBolt&topology_id=SlidingWindowTestw1s1-2-1483646178.",/,
STORM-2279,There is a stacktrace corresponding to this in nimbus.log showing IndexOutOfBound error:.,/,
STORM-2279,"The problem is that we expect the index to be positive, but since it is a mod of hashcode it can be negative.. https://github.com/apache/storm/blob/2b82fc8b5328fd4fbd680998c6051d9496c102d7/storm-core/src/jvm/org/apache/storm/daemon/nimbus/Nimbus.java#L3605",surprise,-1
HDFS-11515,"HDFS-10797 fixed a disk summary (-du) bug, but it introduced a new bug..",surprise,-1
HDFS-11515,The bug can be reproduced running the following commands:.,/,
HDFS-11515,A ConcurrentModificationException forced du to terminate abruptly..,/,
HDFS-11515,"Correspondingly, NameNode log has the following error:.",/,
HDFS-11515,"The bug is due to a improper use of HashSet, not concurrent operations.",/,
HDFS-11515,"Basically, a HashSet can not be updated while an iterator is traversing it.",/,
MAPREDUCE-6091,"If you query the job status of a job that rolled off the RM view via YARNRunner.getJobStatus(), it fails with an ApplicationNotFoundException.",/,
MAPREDUCE-6091,"For example,.",/,
MAPREDUCE-6091,"Prior to 2.1.0, it used to be able to fall back onto the job history server and get the status..",/,
MAPREDUCE-6091,This appears to be introduced by YARN-873.,/,
